"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20200301,서울특별시,11,도봉구,11320,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,도봉구,11320,0,0,0,0,0,0,13,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,노원구,11350,0,0,0,0,4,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,은평구,11380,0,0,0,0,3,0,0,4,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,마포구,11440,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,강북구,11305,0,0,0,0,0,0,10,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,성북구,11290,0,0,0,0,0,0,14,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,중랑구,11260,0,0,0,0,0,0,6,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,동대문구,11230,0,0,0,0,0,0,6,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,광진구,11215,0,0,0,0,4,0,6,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,성동구,11200,0,0,0,0,0,0,11,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,용산구,11170,0,0,0,0,3,0,10,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,중구,11140,0,0,0,0,0,0,5,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,종로구,11110,0,0,0,0,0,0,12,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,강남구,11680,0,0,0,0,0,0,17,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,강동구,11740,0,0,0,0,0,0,26,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,송파구,11710,0,0,0,0,4,0,16,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,양천구,11470,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,강서구,11500,0,0,0,0,3,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,구로구,11530,0,0,0,0,7,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,영등포구,11560,0,0,0,0,5,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,서초구,11650,0,0,0,0,4,0,0,3,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,강남구,11680,0,0,0,0,7,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,4,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,3,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,도봉구,11320,0,0,0,0,14,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,노원구,11350,0,0,0,0,32,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,은평구,11380,0,0,0,0,24,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,서대문구,11410,0,5,0,3,20,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,마포구,11440,0,4,0,0,32,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,양천구,11470,0,0,0,0,22,0,0,0,0,0,0
20200301,서울특별시,11,관악구,11620,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,관악구,11620,서울특별시,11,관악구,11620,0,0,0,0,0,0,21,0,0,0,0
20200301,서울특별시,11,관악구,11620,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,강서구,11500,0,5,0,0,33,0,0,0,0,0,0
20200301,서울특별시,11,종로구,11110,서울특별시,11,노원구,11350,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,종로구,11110,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,종로구,11110,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,구로구,11530,0,0,0,0,25,0,0,0,0,0,0
20200301,서울특별시,11,중구,11140,서울특별시,11,금천구,11545,0,0,0,0,11,0,0,0,0,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,강서구,11500,0,0,0,0,5,0,62,0,4,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,구로구,11530,0,0,0,0,3,0,49,0,0,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,금천구,11545,0,0,0,0,0,0,17,0,0,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,영등포구,11560,0,0,0,0,0,0,42,0,3,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,동작구,11590,0,0,0,0,7,0,48,0,4,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,중구,11140,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,도봉구,11320,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,관악구,11620,0,0,0,0,3,0,49,0,6,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,서초구,11650,0,33,0,0,16,0,187,0,0,0,0
20200301,서울특별시,11,서초구,11650,서울특별시,11,강남구,11680,0,0,0,0,12,0,52,0,5,0,3
20200301,서울특별시,11,서초구,11650,서울특별시,11,송파구,11710,0,0,0,0,0,0,70,0,3,0,3
20200301,서울특별시,11,서초구,11650,서울특별시,11,강동구,11740,0,0,0,0,0,0,59,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,도봉구,11320,0,0,0,0,0,0,10,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,노원구,11350,0,0,0,0,0,0,19,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,은평구,11380,0,0,0,0,0,0,15,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,서대문구,11410,0,0,0,0,0,0,12,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,마포구,11440,0,0,0,0,0,0,15,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,양천구,11470,0,0,0,0,3,0,17,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,강서구,11500,0,0,0,0,0,0,16,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,구로구,11530,0,0,0,0,0,0,9,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,금천구,11545,0,0,0,0,0,0,9,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,영등포구,11560,0,0,0,0,0,0,14,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,동작구,11590,0,0,0,0,0,0,16,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,관악구,11620,0,0,0,0,4,0,33,0,0,0,0
20200301,서울특별시,11,강동구,11740,서울특별시,11,서초구,11650,0,0,0,0,3,0,21,0,0,0,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,은평구,11380,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,강북구,11305,0,0,0,0,0,0,7,0,0,0,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,구로구,11530,0,7,0,0,0,0,8,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,강서구,11500,0,8,0,0,0,0,30,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,양천구,11470,0,0,0,0,0,0,7,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,마포구,11440,0,7,0,0,0,0,9,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,서대문구,11410,0,4,0,13,30,0,17,0,78,18,36
20200301,서울특별시,11,강서구,11500,서울특별시,11,은평구,11380,0,6,0,0,0,0,5,0,0,0,0
20200301,서울특별시,11,노원구,11350,서울특별시,11,종로구,11110,0,0,0,0,22,0,0,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,노원구,11350,0,9,0,0,0,0,7,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,도봉구,11320,0,3,0,0,0,0,5,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,강북구,11305,0,4,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,성북구,11290,0,7,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,중랑구,11260,0,0,0,0,0,0,9,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,동대문구,11230,0,4,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,광진구,11215,0,4,0,0,0,0,6,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,성동구,11200,0,5,0,0,0,0,8,0,0,0,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,성북구,11290,0,13,0,0,0,0,0,0,11,11,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,중랑구,11260,0,11,0,0,0,0,0,0,11,7,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,동대문구,11230,0,12,0,0,0,0,0,0,19,4,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,광진구,11215,0,13,0,0,0,0,0,0,17,8,0
20200301,서울특별시,11,강북구,11305,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,중구,11140,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,성북구,11290,0,3,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,노원구,11350,0,3,0,0,3,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,은평구,11380,0,4,0,0,4,0,16,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,서대문구,11410,0,0,0,0,3,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,마포구,11440,0,4,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,양천구,11470,0,3,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,구로구,11530,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,서초구,11650,0,3,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,은평구,11380,서울특별시,11,강동구,11740,0,4,0,0,4,0,0,0,0,0,0
20200301,서울특별시,11,강남구,11680,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강남구,11680,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,성동구,11200,0,11,0,0,0,0,0,0,10,0,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,용산구,11170,0,5,0,0,0,0,0,0,6,5,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,중구,11140,0,3,0,0,0,0,0,0,6,5,0
20200301,서울특별시,11,구로구,11530,서울특별시,11,종로구,11110,0,5,0,0,0,0,0,0,4,0,0
20200301,서울특별시,11,서대문구,11410,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,중랑구,11260,서울특별시,11,강북구,11305,0,0,4,0,0,0,0,0,0,0,0
20200301,서울특별시,11,중랑구,11260,서울특별시,11,도봉구,11320,0,0,3,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,중구,11140,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,양천구,11470,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,양천구,11470,서울특별시,11,양천구,11470,0,0,0,0,0,0,19,0,0,0,0
20200301,서울특별시,11,양천구,11470,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,양천구,11470,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,동대문구,11230,0,3,0,0,0,0,0,0,3,0,0
20200301,서울특별시,11,중랑구,11260,서울특별시,11,성북구,11290,0,0,0,0,3,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,송파구,11710,0,0,0,0,0,0,7,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,강남구,11680,0,0,0,0,5,0,18,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,서초구,11650,0,5,0,0,4,0,5,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,동작구,11590,0,0,0,0,0,0,5,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,영등포구,11560,4,6,0,0,4,0,15,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,금천구,11545,0,0,0,0,0,0,13,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,구로구,11530,0,0,0,3,0,0,5,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,강서구,11500,0,0,0,3,0,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,양천구,11470,0,0,0,0,0,0,7,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,마포구,11440,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,서대문구,11410,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,은평구,11380,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,노원구,11350,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,도봉구,11320,0,0,0,0,0,0,4,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,성북구,11290,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,중랑구,11260,0,0,0,0,0,0,4,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,광진구,11215,0,0,0,0,0,0,4,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,성동구,11200,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,용산구,11170,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,중구,11140,0,0,0,0,0,0,8,0,0,0,0
20200301,서울특별시,11,금천구,11545,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,송파구,11710,서울특별시,11,송파구,11710,0,5,0,0,0,0,27,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,중구,11140,0,0,0,0,0,0,3,0,0,0,0
20200301,서울특별시,11,강서구,11500,서울특별시,11,종로구,11110,0,0,0,13,26,0,26,0,80,26,36
20200301,서울특별시,11,중랑구,11260,서울특별시,11,노원구,11350,0,0,0,0,0,0,0,0,0,0,0
20200301,서울특별시,11,중랑구,11260,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
