"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20220501,서울특별시,11,성동구,11200,서울특별시,11,도봉구,11320,0,0,0,4,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,중랑구,11260,0,4,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,광진구,11215,0,0,7,11,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,성동구,11200,0,4,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,용산구,11170,0,7,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,중구,11140,0,3,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성동구,11200,서울특별시,11,종로구,11110,0,4,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,동작구,11590,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,동작구,11590,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,동작구,11590,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,종로구,11110,0,9,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,중구,11140,0,19,0,0,4,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,용산구,11170,0,17,0,0,0,0,4,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,성동구,11200,0,0,0,0,0,0,3,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,강북구,11305,0,0,0,0,0,0,3,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,노원구,11350,0,0,0,0,4,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,은평구,11380,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,서대문구,11410,0,3,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,마포구,11440,0,4,0,0,0,0,4,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,양천구,11470,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,구로구,11530,0,0,0,0,3,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,금천구,11545,0,0,0,0,6,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,동작구,11590,0,0,0,0,0,0,3,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,서초구,11650,0,0,0,0,3,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,강남구,11680,0,4,0,0,4,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,송파구,11710,0,0,0,0,3,0,0,0,0,0,0
20220501,서울특별시,11,중구,11140,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,동작구,11590,서울특별시,11,마포구,11440,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,동작구,11590,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,성동구,11200,0,0,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,광진구,11215,0,4,6,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,동대문구,11230,0,0,4,0,0,0,0,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,성북구,11290,0,3,3,0,0,0,0,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,도봉구,11320,0,0,4,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,송파구,11710,0,0,7,0,0,0,3,5,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,강남구,11680,0,4,12,0,11,0,0,7,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,서초구,11650,0,0,5,0,11,0,3,4,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,관악구,11620,0,0,4,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,동작구,11590,0,0,4,0,4,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,영등포구,11560,0,4,9,0,5,0,0,4,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,금천구,11545,0,0,3,0,4,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,구로구,11530,0,0,0,0,0,0,3,5,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,강서구,11500,0,0,7,0,8,0,0,11,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,양천구,11470,3,0,0,0,3,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,마포구,11440,0,0,0,0,6,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,서대문구,11410,0,0,5,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,은평구,11380,0,0,5,0,6,0,0,4,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,강남구,11680,0,0,0,0,4,0,8,0,0,0,20
20220501,서울특별시,11,강남구,11680,서울특별시,11,서초구,11650,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,구로구,11530,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,양천구,11470,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,은평구,11380,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,노원구,11350,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,동대문구,11230,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강남구,11680,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,노원구,11350,0,3,6,0,3,0,0,3,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,강북구,11305,0,0,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,성북구,11290,0,0,0,0,4,0,0,4,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,중랑구,11260,0,0,3,0,6,0,0,3,0,0,0
20220501,서울특별시,11,은평구,11380,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,은평구,11380,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,은평구,11380,서울특별시,11,서대문구,11410,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,은평구,11380,서울특별시,11,성북구,11290,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,종로구,11110,0,0,0,0,0,0,0,0,3,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,중구,11140,0,5,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,5,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,성동구,11200,0,8,0,0,0,0,0,0,7,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,광진구,11215,0,4,0,0,0,0,0,0,5,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,동대문구,11230,0,7,0,0,0,0,0,0,7,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,중랑구,11260,0,3,0,0,0,0,0,0,9,4,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,성북구,11290,0,6,0,0,0,0,0,0,5,4,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,4,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,도봉구,11320,0,3,0,0,0,0,0,0,7,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,노원구,11350,0,11,0,0,0,0,0,0,10,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,은평구,11380,0,10,0,0,0,0,0,0,10,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,서대문구,11410,0,9,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,마포구,11440,0,6,0,0,0,0,0,0,10,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,양천구,11470,0,6,0,0,0,0,0,0,7,4,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,강서구,11500,0,14,0,0,0,0,0,0,14,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,구로구,11530,0,4,0,0,0,0,0,0,9,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,금천구,11545,0,5,0,0,0,0,0,0,6,3,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,영등포구,11560,0,7,0,0,0,0,0,0,9,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,송파구,11710,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,동작구,11590,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,광진구,11215,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,강동구,11740,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,동작구,11590,0,6,0,0,0,0,0,0,8,3,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,관악구,11620,0,15,0,0,0,0,0,0,14,8,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,서초구,11650,0,10,0,0,0,0,3,0,11,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,강남구,11680,0,9,0,0,0,0,0,0,8,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,송파구,11710,0,10,0,0,0,0,0,0,14,0,0
20220501,서울특별시,11,구로구,11530,서울특별시,11,강동구,11740,0,0,0,0,0,0,3,0,4,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,동대문구,11230,0,0,5,0,0,0,3,3,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,광진구,11215,0,0,6,0,4,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,성동구,11200,0,0,3,0,3,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,용산구,11170,0,0,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,노원구,11350,0,4,8,0,0,0,0,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,은평구,11380,0,0,7,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,서대문구,11410,0,3,3,0,0,0,0,0,4,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,마포구,11440,0,0,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,양천구,11470,0,4,7,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,강서구,11500,0,4,0,0,0,0,0,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,구로구,11530,0,0,5,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,영등포구,11560,0,0,4,0,0,0,0,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,동작구,11590,0,7,0,0,0,0,5,0,4,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,관악구,11620,0,4,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,서초구,11650,4,65,13,0,14,0,111,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,강남구,11680,0,9,16,0,3,0,9,0,3,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,송파구,11710,0,6,5,0,0,0,0,0,0,0,0
20220501,서울특별시,11,서초구,11650,서울특별시,11,강동구,11740,0,0,3,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,중구,11140,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,강남구,11680,0,5,0,0,0,0,0,8,3,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,중구,11140,0,4,3,0,4,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,종로구,11110,0,0,7,0,4,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,송파구,11710,0,3,0,0,0,0,0,0,5,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,강동구,11740,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,송파구,11710,서울특별시,11,강동구,11740,0,0,8,0,0,0,0,6,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,관악구,11620,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,동작구,11590,0,3,0,0,0,0,0,0,5,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,영등포구,11560,0,4,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,성북구,11290,0,0,0,3,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,서대문구,11410,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,마포구,11440,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,양천구,11470,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,영등포구,11560,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,서초구,11650,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,용산구,11170,서울특별시,11,강남구,11680,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,금천구,11545,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,구로구,11530,0,0,0,0,0,0,0,0,3,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,강서구,11500,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,양천구,11470,0,3,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,노원구,11350,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,도봉구,11320,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,강북구,11305,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,성북구,11290,0,0,0,0,0,0,5,0,0,0,29
20220501,서울특별시,11,성북구,11290,서울특별시,11,중랑구,11260,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,동대문구,11230,0,0,0,0,0,0,3,0,0,0,6
20220501,서울특별시,11,성북구,11290,서울특별시,11,광진구,11215,0,3,0,0,0,0,0,0,3,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,성동구,11200,0,0,0,0,0,0,0,0,0,0,0
20220501,서울특별시,11,성북구,11290,서울특별시,11,용산구,11170,0,0,0,0,0,0,0,0,0,0,0
